FilePath,Package,Class,Method Name,Return Type,Parameters,Function Body,Throws,Modifiers,Generics
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Member.java,,Member,getId,String,,"{
        return id;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Member.java,,Member,setId,void,String id,"{
        this.id = id;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Member.java,,Member,getName,String,,"{
        return name;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Member.java,,Member,setName,void,String name,"{
        this.name = name;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Member.java,,Member,getEmail,String,,"{
        return email;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Member.java,,Member,setEmail,void,String email,"{
        this.email = email;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Member.java,,Member,getMobile,String,,"{
        return mobile;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Member.java,,Member,setMobile,void,String mobile,"{
        this.mobile = mobile;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,getInstance,DatabaseHandler,,"{
        if (handler == null) {
            handler = new DatabaseHandler();
        }
        return handler;
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,inflateDB,void,,"{
        List<String> tableData = new ArrayList<>();
        try {
            Set<String> loadedTables = getDBTables();
            System.out.println(""Already loaded tables "" + loadedTables);
            DocumentBuilderFactory dbFactory = DocumentBuilderFactory.newInstance();
            DocumentBuilder dBuilder = dbFactory.newDocumentBuilder();
            Document doc = dBuilder.parse(DatabaseHandler.class.getClass().getResourceAsStream(""/resources/database/tables.xml""));
            NodeList nList = doc.getElementsByTagName(""table-entry"");
            for (int i = 0; i < nList.getLength(); i++) {
                Node nNode = nList.item(i);
                Element entry = (Element) nNode;
                String tableName = entry.getAttribute(""name"");
                String query = entry.getAttribute(""col-data"");
                if (!loadedTables.contains(tableName.toLowerCase())) {
                    tableData.add(String.format(""CREATE TABLE %s (%s)"", tableName, query));
                }
            }
            if (tableData.isEmpty()) {
                System.out.println(""Tables are already loaded"");
            }
            else {
                System.out.println(""Inflating new tables."");
                createTables(tableData);
            }
        }
        catch (Exception ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
    }",,private static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,createConnection,void,,"{
        try {
            Class.forName(""org.apache.derby.jdbc.EmbeddedDriver"").newInstance();
            conn = DriverManager.getConnection(DB_URL);
        }
        catch (Exception e) {
            JOptionPane.showMessageDialog(null, ""Cant load database"", ""Database Error"", JOptionPane.ERROR_MESSAGE);
            System.exit(0);
        }
    }",,private static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,getDBTables,Set<String>,,"{
        Set<String> set = new HashSet<>();
        DatabaseMetaData dbmeta = conn.getMetaData();
        readDBTable(set, dbmeta, ""TABLE"", null);
        return set;
    }",throws SQLException,private static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,readDBTable,void,"Set<String> set, DatabaseMetaData dbmeta, String searchCriteria, String schema","{
        ResultSet rs = dbmeta.getTables(null, schema, null, new String[]{searchCriteria});
        while (rs.next()) {
            set.add(rs.getString(""TABLE_NAME"").toLowerCase());
        }
    }",throws SQLException,private static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,execQuery,ResultSet,String query,"{
        ResultSet result;
        try {
            stmt = conn.createStatement();
            result = stmt.executeQuery(query);
        }
        catch (SQLException ex) {
            System.out.println(""Exception at execQuery:dataHandler"" + ex.getLocalizedMessage());
            return null;
        }
        finally {
        }
        return result;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,execAction,boolean,String qu,"{
        try {
            stmt = conn.createStatement();
            stmt.execute(qu);
            return true;
        }
        catch (SQLException ex) {
            JOptionPane.showMessageDialog(null, ""Error:"" + ex.getMessage(), ""Error Occured"", JOptionPane.ERROR_MESSAGE);
            System.out.println(""Exception at execQuery:dataHandler"" + ex.getLocalizedMessage());
            return false;
        }
        finally {
        }
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,deleteBook,boolean,Book book,"{
        try {
            String deleteStatement = ""DELETE FROM BOOK WHERE ID = ?"";
            PreparedStatement stmt = conn.prepareStatement(deleteStatement);
            stmt.setString(1, book.getId());
            int res = stmt.executeUpdate();
            if (res == 1) {
                return true;
            }
        }
        catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,isBookAlreadyIssued,boolean,Book book,"{
        try {
            String checkstmt = ""SELECT COUNT(*) FROM ISSUE WHERE bookid=?"";
            PreparedStatement stmt = conn.prepareStatement(checkstmt);
            stmt.setString(1, book.getId());
            ResultSet rs = stmt.executeQuery();
            if (rs.next()) {
                int count = rs.getInt(1);
                System.out.println(count);
                return (count > 0);
            }
        }
        catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,deleteMember,boolean,MemberListController.Member member,"{
        try {
            String deleteStatement = ""DELETE FROM MEMBER WHERE id = ?"";
            PreparedStatement stmt = conn.prepareStatement(deleteStatement);
            stmt.setString(1, member.getId());
            int res = stmt.executeUpdate();
            if (res == 1) {
                return true;
            }
        }
        catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,isMemberHasAnyBooks,boolean,MemberListController.Member member,"{
        try {
            String checkstmt = ""SELECT COUNT(*) FROM ISSUE WHERE memberID=?"";
            PreparedStatement stmt = conn.prepareStatement(checkstmt);
            stmt.setString(1, member.getId());
            ResultSet rs = stmt.executeQuery();
            if (rs.next()) {
                int count = rs.getInt(1);
                System.out.println(count);
                return (count > 0);
            }
        }
        catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,updateBook,boolean,Book book,"{
        try {
            String update = ""UPDATE BOOK SET TITLE=?, AUTHOR=?, PUBLISHER=? WHERE ID=?"";
            PreparedStatement stmt = conn.prepareStatement(update);
            stmt.setString(1, book.getTitle());
            stmt.setString(2, book.getAuthor());
            stmt.setString(3, book.getPublisher());
            stmt.setString(4, book.getId());
            int res = stmt.executeUpdate();
            return (res > 0);
        }
        catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,updateMember,boolean,MemberListController.Member member,"{
        try {
            String update = ""UPDATE MEMBER SET NAME=?, EMAIL=?, MOBILE=? WHERE ID=?"";
            PreparedStatement stmt = conn.prepareStatement(update);
            stmt.setString(1, member.getName());
            stmt.setString(2, member.getEmail());
            stmt.setString(3, member.getMobile());
            stmt.setString(4, member.getId());
            int res = stmt.executeUpdate();
            return (res > 0);
        }
        catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,main,void,String[] args,"{
        DatabaseHandler.getInstance();
    }",throws Exception,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,getBookGraphStatistics,ObservableList<PieChart.Data>,,"{
        ObservableList<PieChart.Data> data = FXCollections.observableArrayList();
        try {
            String qu1 = ""SELECT COUNT(*) FROM BOOK"";
            String qu2 = ""SELECT COUNT(*) FROM ISSUE"";
            ResultSet rs = execQuery(qu1);
            if (rs.next()) {
                int count = rs.getInt(1);
                data.add(new PieChart.Data(""Total Books ("" + count + "")"", count));
            }
            rs = execQuery(qu2);
            if (rs.next()) {
                int count = rs.getInt(1);
                data.add(new PieChart.Data(""Issued Books ("" + count + "")"", count));
            }
        }
        catch (Exception e) {
            e.printStackTrace();
        }
        return data;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,getMemberGraphStatistics,ObservableList<PieChart.Data>,,"{
        ObservableList<PieChart.Data> data = FXCollections.observableArrayList();
        try {
            String qu1 = ""SELECT COUNT(*) FROM MEMBER"";
            String qu2 = ""SELECT COUNT(DISTINCT memberID) FROM ISSUE"";
            ResultSet rs = execQuery(qu1);
            if (rs.next()) {
                int count = rs.getInt(1);
                data.add(new PieChart.Data(""Total Members ("" + count + "")"", count));
            }
            rs = execQuery(qu2);
            if (rs.next()) {
                int count = rs.getInt(1);
                data.add(new PieChart.Data(""Active ("" + count + "")"", count));
            }
        }
        catch (Exception e) {
            e.printStackTrace();
        }
        return data;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,createTables,void,List<String> tableData,"{
        Statement statement = conn.createStatement();
        statement.closeOnCompletion();
        for (String command : tableData) {
            System.out.println(command);
            statement.addBatch(command);
        }
        statement.executeBatch();
    }",throws SQLException,private static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DatabaseHandler.java,,DatabaseHandler,getConnection,Connection,,"{
        return conn;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DataHelper.java,,DataHelper,insertNewBook,boolean,Book book,"{
        try {
            PreparedStatement statement = DatabaseHandler.getInstance().getConnection().prepareStatement(
                    ""INSERT INTO BOOK(id,title,author,publisher,isAvail) VALUES(?,?,?,?,?)"");
            statement.setString(1, book.getId());
            statement.setString(2, book.getTitle());
            statement.setString(3, book.getAuthor());
            statement.setString(4, book.getPublisher());
            statement.setBoolean(5, book.getAvailability());
            return statement.executeUpdate() > 0;
        } catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DataHelper.java,,DataHelper,insertNewMember,boolean,Member member,"{
        try {
            PreparedStatement statement = DatabaseHandler.getInstance().getConnection().prepareStatement(
                    ""INSERT INTO MEMBER(id,name,mobile,email) VALUES(?,?,?,?)"");
            statement.setString(1, member.getId());
            statement.setString(2, member.getName());
            statement.setString(3, member.getMobile());
            statement.setString(4, member.getEmail());
            return statement.executeUpdate() > 0;
        } catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DataHelper.java,,DataHelper,isBookExists,boolean,String id,"{
        try {
            String checkstmt = ""SELECT COUNT(*) FROM BOOK WHERE id=?"";
            PreparedStatement stmt = DatabaseHandler.getInstance().getConnection().prepareStatement(checkstmt);
            stmt.setString(1, id);
            ResultSet rs = stmt.executeQuery();
            if (rs.next()) {
                int count = rs.getInt(1);
                System.out.println(count);
                return (count > 0);
            }
        } catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DataHelper.java,,DataHelper,isMemberExists,boolean,String id,"{
        try {
            String checkstmt = ""SELECT COUNT(*) FROM MEMBER WHERE id=?"";
            PreparedStatement stmt = DatabaseHandler.getInstance().getConnection().prepareStatement(checkstmt);
            stmt.setString(1, id);
            ResultSet rs = stmt.executeQuery();
            if (rs.next()) {
                int count = rs.getInt(1);
                System.out.println(count);
                return (count > 0);
            }
        } catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DataHelper.java,,DataHelper,getBookInfoWithIssueData,ResultSet,String id,"{
        try {
            String query = ""SELECT BOOK.title, BOOK.author, BOOK.isAvail, ISSUE.issueTime FROM BOOK LEFT JOIN ISSUE on BOOK.id = ISSUE.bookID where BOOK.id = ?"";
            PreparedStatement stmt = DatabaseHandler.getInstance().getConnection().prepareStatement(query);
            stmt.setString(1, id);
            ResultSet rs = stmt.executeQuery();
            return rs;
        } catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return null;
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DataHelper.java,,DataHelper,wipeTable,void,String tableName,"{
        try {
            Statement statement = DatabaseHandler.getInstance().getConnection().createStatement();
            statement.execute(""DELETE FROM "" + tableName + "" WHERE TRUE"");
        } catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DataHelper.java,,DataHelper,updateMailServerInfo,boolean,MailServerInfo mailServerInfo,"{
        try {
            wipeTable(""MAIL_SERVER_INFO"");
            PreparedStatement statement = DatabaseHandler.getInstance().getConnection().prepareStatement(
                    ""INSERT INTO MAIL_SERVER_INFO(server_name,server_port,user_email,user_password,ssl_enabled) VALUES(?,?,?,?,?)"");
            statement.setString(1, mailServerInfo.getMailServer());
            statement.setInt(2, mailServerInfo.getPort());
            statement.setString(3, mailServerInfo.getEmailID());
            statement.setString(4, mailServerInfo.getPassword());
            statement.setBoolean(5, mailServerInfo.getSslEnabled());
            return statement.executeUpdate() > 0;
        } catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return false;
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\DataHelper.java,,DataHelper,loadMailServerInfo,MailServerInfo,,"{
        try {
            String checkstmt = ""SELECT * FROM MAIL_SERVER_INFO"";
            PreparedStatement stmt = DatabaseHandler.getInstance().getConnection().prepareStatement(checkstmt);
            ResultSet rs = stmt.executeQuery();
            if (rs.next()) {
                String mailServer = rs.getString(""server_name"");
                Integer port = rs.getInt(""server_port"");
                String emailID = rs.getString(""user_email"");
                String userPassword = rs.getString(""user_password"");
                Boolean sslEnabled = rs.getBoolean(""ssl_enabled"");
                return new MailServerInfo(mailServer, port, emailID, userPassword, sslEnabled);
            }
        } catch (SQLException ex) {
            LOGGER.log(Level.ERROR, ""{}"", ex);
        }
        return null;
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\export\DatabaseExporter.java,,DatabaseExporter,call,Boolean,,"{
        try {
            createBackup();
            return true;
        } catch (Exception exp) {
            AlertMaker.showErrorMessage(exp);
        }
        return false;
    }",,@Override protected,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\database\export\DatabaseExporter.java,,DatabaseExporter,createBackup,void,,"{
        DateTimeFormatter dateFormat = DateTimeFormatter.ofPattern(""yyyy_MM_dd_hh_mm_ss"");
        String backupdirectory = backupDirectory.getAbsolutePath() + File.separator + LocalDateTime.now().format(dateFormat);
        try (CallableStatement cs = DatabaseHandler.getInstance().getConnection().prepareCall(""CALL SYSCS_UTIL.SYSCS_BACKUP_DATABASE(?)"")) {
            cs.setString(1, backupdirectory);
            cs.execute();
        }
        File file = new File(backupdirectory);
        LibraryAssistantUtil.openFileWithDesktop(file);
    }",throws Exception,private,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\email\EmailUtil.java,,EmailUtil,sendTestMail,void,"MailServerInfo mailServerInfo, String recepient, GenericCallback callback","{

        Runnable emailSendTask = () -> {
            LOGGER.log(Level.INFO, ""Initiating email sending task. Sending to {}"", recepient);
            Properties props = new Properties();
            try {
                MailSSLSocketFactory sf = new MailSSLSocketFactory();
                sf.setTrustAllHosts(true);
                props.put(""mail.imap.ssl.trust"", ""*"");
                props.put(""mail.imap.ssl.socketFactory"", sf);
                props.put(""mail.smtp.auth"", ""true"");
                props.put(""mail.smtp.starttls.enable"", mailServerInfo.getSslEnabled() ? ""true"" : ""false"");
                props.put(""mail.smtp.host"", mailServerInfo.getMailServer());
                props.put(""mail.smtp.port"", mailServerInfo.getPort());

                Session session = Session.getInstance(props, new javax.mail.Authenticator() {
                    @Override
                    protected PasswordAuthentication getPasswordAuthentication() {
                        return new PasswordAuthentication(mailServerInfo.getEmailID(), mailServerInfo.getPassword());
                    }
                });

                Message message = new MimeMessage(session);
                message.setFrom(new InternetAddress(mailServerInfo.getEmailID()));
                message.setRecipients(Message.RecipientType.TO,
                        InternetAddress.parse(recepient));
                message.setSubject(""Test mail from Library Assistant"");
                message.setText(""Hi,""
                        + ""\n\n This is a test mail from Library Assistant!"");

                Transport.send(message);
                LOGGER.log(Level.INFO, ""Everything seems fine"");
                callback.taskCompleted(Boolean.TRUE);
            } catch (Throwable exp) {
                LOGGER.log(Level.INFO, ""Error occurred during sending email"", exp);
                callback.taskCompleted(Boolean.FALSE);
            }
        };
        Thread mailSender = new Thread(emailSendTask, ""EMAIL-SENDER"");
        mailSender.start();
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\email\EmailUtil.java,,EmailUtil,getPasswordAuthentication,PasswordAuthentication,,"{
                        return new PasswordAuthentication(mailServerInfo.getEmailID(), mailServerInfo.getPassword());
                    }",,@Override protected,
